		GENOME: 1004954.6	GENOME: 520487.6	GENOME: 29461.21
		NAME: Brucella suis bv. 1 str. S2	NAME: Brucella suis bv. 3 str. 686	NAME: Brucella suis strain Human/AR/US/1981
FAMILY: PGF_00000027	FAMILY Name: Uncharacterized protein YmdB	1	8	1
FAMILY: PGF_00000060	FAMILY Name: FIG006581: hypothetical protein	1	8	1
FAMILY: PGF_00000161	FAMILY Name: 7-alpha-hydroxysteroid dehydrogenase (EC 1.1.1.159)	2	16	2
FAMILY: PGF_00000251	FAMILY Name: FIG00740902: hypothetical protein	1	8	1
FAMILY: PGF_00000261	FAMILY Name: 8-amino-7-oxononanoate synthase (EC 2.3.1.47)	1	8	1
FAMILY: PGF_00000363	FAMILY Name: FIG00792028: hypothetical protein	1	8	1
FAMILY: PGF_00000364	FAMILY Name: FIG00792156: hypothetical protein	1	8	1
FAMILY: PGF_00000372	FAMILY Name: FIG00793409: hypothetical protein	1	8	1
FAMILY: PGF_00000416	FAMILY Name: A/G-specific adenine glycosylase (EC 3.2.2.-)	1	8	1
FAMILY: PGF_00000890	FAMILY Name: FIG00883734: hypothetical protein	1	8	1
FAMILY: PGF_00000892	FAMILY Name: FIG00883991: hypothetical protein	1	8	1
FAMILY: PGF_00000897	FAMILY Name: FIG00884245: hypothetical protein	1	8	1
FAMILY: PGF_00000899	FAMILY Name: FIG00884354: hypothetical protein	1	8	1
FAMILY: PGF_00000936	FAMILY Name: FIG00899427: hypothetical protein	1	8	1
FAMILY: PGF_00001268	FAMILY Name: FIG00983982: hypothetical protein	1	8	1
FAMILY: PGF_00001273	FAMILY Name: FIG00984076: hypothetical protein	1	8	1
FAMILY: PGF_00001295	FAMILY Name: FIG00985384: hypothetical protein	1	8	1
FAMILY: PGF_00002124	FAMILY Name: ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA	1	8	1
FAMILY: PGF_00002375	FAMILY Name: ABC transporter, substrate-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)	2	16	2
FAMILY: PGF_00002425	FAMILY Name: FIG01306805: hypothetical protein	1	8	1
